'Amt','Pono','RowNum','ReqPrc.RequisitType','ReqPrc.ItemNo','ReqPrc.UOMPurchase','ReqPrc.JobNo','Qtyremn','Desc','Reqdate','0.cLineTypeDesc'
0.00000,'43981',1,'IN','.106833','EA','',10.00000,'PROX SENSOR N/O 18MM PBT FACE 085499',09/27/2019,'Inventory'
0.00000,'43981',2,'IN','.106859','EA','',4.00000,'M12 EXT CABLE 3FT, MALE 90, FEMALE STR',09/27/2019,'Inventory'
0.00000,'43981',3,'IN','.106910','EA','',2.00000,'M12 EXT CABLE 16FT, MALE 90, FEMALE STR',09/27/2019,'Inventory'
1446.00000,'43982',1,'IN','.095739','EA','',10.00000,'GEARBOX WORM DRIVE 44:1 RATIO',11/15/2019,'Inventory'
313.25000,'43983',2,'IN','.098453','EA','',4.00000,'LEVEL SENSOR .5 TO 4.5 VDC  +/- 10 DEGRE',09/25/2019,'Inventory'
99.73000,'43983',3,'IN','.100578','EA','',2.00000,'EZ LIGHT K50LGRALS4YP 3-COLOR',09/25/2019,'Inventory'
61.75000,'43983',4,'IN','.104044','EA','',4.00000,'E-STOP MOMENTARY SWITCH W/LED',09/25/2019,'Inventory'
9.40000,'43983',5,'IN','.104053','EA','',10.00000,'M12 CAP MALE THREAD TURCK RS-MC',09/25/2019,'Inventory'
10.84000,'43983',6,'IN','.106827','EA','',40.00000,'M12 FEMALE PANEL MOUNT CONNECTOR 4 CKT',09/25/2019,'Inventory'
82.67000,'43983',7,'IN','.106840','EA','',4.00000,'24V ILLUMINIATED TWIST E-STOP ASSEMBLY',09/25/2019,'Inventory'
29.57000,'43984',1,'IN','.064074','EA','',2.00000,'NOISE FILTER',09/12/2019,'Inventory'
25.90000,'43984',2,'IN','.096011','EA','',2.00000,'LIGHT DRIVING  HOBBS  7190250',09/12/2019,'Inventory'
248.00000,'43985',1,'IN','.093293','EA','',1.00000,'WELDMENT LADDER BRACKET WELDMENT',08/28/2019,'Inventory'
60.00000,'43985',4,'IN','.093299','EA','',2.00000,'LADDER SIDE PLATE 1/4 X 8 X 55.13',08/28/2019,'Inventory'
25.00000,'43985',5,'IN','.093305','EA','',1.00000,'HANGER RH  FOR RUNG 1/4 X 2 X 4.9',08/28/2019,'Inventory'
25.00000,'43985',6,'IN','.093306','EA','',1.00000,'HANGER LH  FOR RUNG 1/4 X 2 X 4.9',08/28/2019,'Inventory'
12.00000,'43985',7,'IN','.093308','EA','',2.00000,'GUSSET 3/8 X 1.88 X 2.50',08/28/2019,'Inventory'
35.00000,'43985',8,'IN','.093309','EA','',2.00000,'LADDER BRACKET B2 3/16 X 4.75 X 23.75',08/28/2019,'Inventory'
76.35000,'43987',1,'IN','.064079','EA','',20.00000,'FILTER ELEMENT RETURN 10 MICRON',10/31/2019,'Inventory'
39.20000,'43988',1,'IN','.652072','EA','',10.00000,'BLEED FITTING',09/10/2019,'Inventory'
0.09000,'43991',1,'IN','.067612','EA','',200.00000,'DEUTSCH SEALING PLUG 0413-204-2005',09/04/2019,'Inventory'
16.12000,'43991',2,'MT','.067613','EA','',25.00000,'DEUTSCH RECEPTACLE Y DT04-3P-P007',09/04/2019,'Material'
1.66000,'43991',3,'IN','.067614','EA','',25.00000,'DEUTSCH PLUG DT06-3S-EP11',09/04/2019,'Inventory'
0.38000,'43991',4,'IN','.067616','EA','',200.00000,'DEUTSCH SOCKET 0462-201-16141',09/04/2019,'Inventory'
0.16000,'43991',5,'IN','.069345','EA','',100.00000,'DEUTSCH SEALING PLUG 114017',09/04/2019,'Inventory'
0.88000,'43991',6,'IN','.069583','EA','',100.00000,'DEUTSCH PIN 0460-202-16141',09/04/2019,'Inventory'
0.98000,'43991',7,'IN','.069584','EA','',25.00000,'DEUTSCH RECEPTACLE  DT04-3P',09/04/2019,'Inventory'
0.07000,'43991',8,'IN','.069585','EA','',50.00000,'DEUTSCH WEDGE W3P',09/04/2019,'Inventory'
9.26000,'43991',9,'MT','.091119','EA','',25.00000,'DEUTSCH RECEPTACLE BUSS  DT04-6P-EP13',09/04/2019,'Material'
1.66000,'43991',10,'IN','.097340','EA','',10.00000,'DEUTSCH LOCK WASHER FOR HDP18',09/04/2019,'Inventory'
1.33000,'43991',11,'IN','.097341','EA','',5.00000,'DEUTSCH HEX NUT FOR HDP18',09/04/2019,'Inventory'
22.44000,'43991',12,'IN','.104050','EA','',10.00000,'DEUTSCH 50 CKT PLUG DRC26-50S01',09/04/2019,'Inventory'
11.27000,'43991',13,'IN','.106865','EA','',3.00000,'DEUTSCH SIZE 18 FLANGE RECP 21 CIRCUIT',09/04/2019,'Inventory'
14.36000,'43991',14,'IN','.106867','EA','',2.00000,'DEUTSCH SIZE 24 FLANGE RECP 33 CIRCUIT',09/04/2019,'Inventory'
1.10000,'43991',15,'IN','.106869','EA','',10.00000,'DEUTSCH SIZE 4 SEAL PLUG 114019',09/04/2019,'Inventory'
7.64000,'43991',16,'IN','.106870','EA','',10.00000,'DEUTSCH 4-PIN FLANGE RECP DT04-4P-LE11',09/04/2019,'Inventory'
0.66000,'43991',17,'IN','.106871','EA','',25.00000,'DEUTSCH GASKET 4-PIN FLANGE RECP',09/04/2019,'Inventory'
0.69000,'43991',18,'IN','.106872','EA','',25.00000,'DEUTSCH GASKET 3-PIN FLANGE RECP',09/04/2019,'Inventory'
0.68000,'43991',19,'IN','.106873','EA','',25.00000,'DEUTSCH GASKET SIZE 24 HDP20/30 SERIES',09/04/2019,'Inventory'
0.55000,'43991',20,'IN','.106874','EA','',8.00000,'DEUTSCH GASKET SIZE 18 HDP20/30 SERIES',09/04/2019,'Inventory'
14.34000,'43991',21,'IN','.106890','EA','',2.00000,'DEUTSCH SIZE 24 FLANGE RECP 29 CIRCUIT',09/04/2019,'Inventory'
11.20000,'43991',22,'IN','.106892','EA','',2.00000,'DEUTSCH SIZE 18 FLANGE RECP 8 CIRCUIT',09/04/2019,'Inventory'
11.20000,'43991',23,'IN','.106894','EA','',2.00000,'DEUTSCH SIZE 18 FLANGE RECP 8 CIRCUIT',09/04/2019,'Inventory'
11.22000,'43991',24,'IN','.106896','EA','',2.00000,'DEUTSCH SIZE 18 FLANGE RECP 14 CIRCUIT',09/04/2019,'Inventory'
14.37000,'43991',25,'IN','.106898','EA','',2.00000,'DEUTSCH SIZE 24 FLANGE RECP 35 CIRCUIT',09/04/2019,'Inventory'
14.35000,'43991',26,'IN','.106930','EA','',2.00000,'DEUTSCH SIZE 24 FLANGE RECP 31 CIRCUIT',09/04/2019,'Inventory'
14.34000,'43991',27,'MT','.106923','EA','',2.00000,'DEUTSCH SIZE 24 FLANGE RECP 29 CIRCUIT',09/04/2019,'Material'
7570.00000,'43992',1,'MT','.103770','EA','',2.00000,'ENGINE ISUZU 10 KW  3CE1 TIER 4 FINAL',11/15/2019,'Material'
7570.00000,'43993',1,'MT','.103770','EA','',2.00000,'ENGINE ISUZU 10 KW  3CE1 TIER 4 FINAL',12/13/2019,'Material'
7570.00000,'43994',1,'MT','.103770','EA','',2.00000,'ENGINE ISUZU 10 KW  3CE1 TIER 4 FINAL',01/17/2020,'Material'
1596.75000,'43995',1,'NS','','EA','',1.00000,'103989 T-1 JUNCTION BOX SP297041',10/31/2019,'Non-Inventory'
290.40000,'43995',2,'NS','','EA','',1.00000,'103990 BOOM-2 JUNCTION BOX SP 297042',10/31/2019,'Non-Inventory'
264.32000,'43995',3,'NS','','EA','',1.00000,'103991 PLATFORM JUNCTION BOX SP 297043',10/31/2019,'Non-Inventory'
0.00000,'43996',1,'NS','','EA','',1.00000,'091000 6 X 47 BOOM-1 CYLINDER REBUILD',09/06/2019,'Non-Inventory'
0.00000,'43996',2,'NS','','EA','',1.00000,'091001 6 X 39 BOOM-2 CYLINDER REBUILD',09/06/2019,'Non-Inventory'
0.00000,'43996',3,'NS','','EA','',1.00000,'091002 6 X 39 BOOM-3 CYLINDER REBUILD',09/06/2019,'Non-Inventory'
0.00000,'43996',4,'NS','','EA','',1.00000,'091003 6 X 39 TURRET-2 CYLINDER REBUILD',09/06/2019,'Non-Inventory'
0.00000,'43996',5,'NS','','EA','',1.00000,'070421 4 X 25.5 BOOM-4 CYLINDER REBUILD',09/06/2019,'Non-Inventory'
0.00000,'43996',6,'NS','','EA','',1.00000,'091017 3 X 33 B-4 TELE CYLINDER REBUILD',09/06/2019,'Non-Inventory'
0.00000,'43996',7,'NS','','EA','',1.00000,'091018 2.5 X 22 LEVELIN CYLINDER REBUILD',09/06/2019,'Non-Inventory'
0.00000,'43996',8,'NS','','EA','',1.00000,'063002 3 X 192 TELE CYLINDER REBUILD',09/06/2019,'Non-Inventory'
36.74000,'43998',1,'MT','.106005','EA','',10.00000,'BUMPER BOOM  UHMW 1.00 X 3.00 X 9.00',09/27/2019,'Material'
441.00000,'43999',2,'MT','.063726','EA','',4.00000,'CTWT PLATE 4 X 24 X 24',09/19/2019,'Material'
808.00000,'43999',3,'MT','.063727','EA','',2.00000,'CTWT PLATE 6 1/2 X 24 X 34 1/2',09/19/2019,'Material'
740.00000,'43999',4,'MT','.064068','EA','',1.00000,'PLATE CTWT 4 X 31 X 34 1/2',09/19/2019,'Material'
4473.00000,'43999',5,'MT','.063634','EA','',1.00000,'THICK PLATE 24" X 23 3/4" X 59 3/8"',09/19/2019,'Material'
1728.00000,'43999',6,'MT','.028234','EA','',1.00000,'PLATE CTWT 7 X 33 1/2 X 59 3/8',09/19/2019,'Material'
318.00000,'43999',9,'MT','.093616','EA','',4.00000,'PLATE CTWT 6 X 9 X 33 1/2',09/19/2019,'Material'
905.00000,'43999',10,'MT','.093617','EA','',2.00000,'PLATE CTWT 4 X 34 1/2 X 37 1/2',09/19/2019,'Material'
4654.00000,'43999',11,'MT','.102149','EA','',2.00000,'COUNTERWEIGHT STACK A75 T-1  20"',09/19/2019,'Material'
1072.00000,'43999',12,'MT','.093618','EA','',2.00000,'PLATE CTWT 6 X 34 1/2 X 37 1/2',09/19/2019,'Material'
479.00000,'43999',13,'MT','.063137','EA','',2.00000,'PLATE 4 X 20 X 33 1/2',09/19/2019,'Material'
465.42000,'44007',1,'IN','.028010','EA','',1.00000,'HOSE CARRIER SC-75 GTW 11811',09/27/2019,'Inventory'
65.00000,'44008',1,'IN','.092153','EA','',8.00000,'PUSH LINK B4 A62-1',09/11/2019,'Inventory'
65.00000,'44008',4,'IN','.092154','EA','',8.00000,'TENSION LINK B4 A62-1',09/11/2019,'Inventory'
0.00000,'44009',1,'IN','.097412','EA','',2.00000,'DECAL GENERATOR',09/04/2019,'Inventory'
0.00000,'44009',2,'IN','.100042','EA','',1.00000,'DECAL KIT-BASE VALVES A62-3',09/04/2019,'Inventory'
81.11000,'44012',1,'IN','.096773','EA','',8.00000,'SOLENOID  VALVE A62 DUMP EATON',10/04/2019,'Inventory'
23.65000,'44013',1,'IN','.061706','EA','',24.00000,'MOUNTING CLIP 1/2  100K STEEL',09/26/2019,'Inventory'
181.30000,'44014',1,'IN','.097597','EA','',2.00000,'INTERCOM SPEAKER FRC',09/06/2019,'Inventory'
31.60000,'44016',1,'IN','.104518','EA','',16.00000,'CAPSCREW 1-14 NF X 10 1/2 GR 8 ZINC',09/18/2019,'Inventory'
9.64000,'44016',2,'MT','.095245','EA','',4.00000,'CAPSCREW 5/8-11 UNC X 10" LG GR 8',09/18/2019,'Material'
10.70000,'44017',1,'IN','.092122','EA','',3.00000,'WELD NUT ROUND 3/4-10 NC',08/29/2019,'Inventory'
239.00000,'44019',1,'IN','.096271','EA','',4.00000,'LOAD CELL  770 LB (350 KG)',11/20/2019,'Inventory'
842.00000,'44020',1,'IN','.098009','EA','',5.00000,'GEARBOX 39:1  AT16576S',12/19/2019,'Inventory'
119.16000,'44021',1,'IN','SK19063','EA','',1.00000,'SEAL KIT FOR A62-1 B1, B2, B3, T2',09/13/2019,'Inventory'
20.00000,'44023',1,'SC','093606','EA','SP296526',20.00000,'093606 CAP 1/4 X 3.50',08/28/2019,'Subcontract'
110.00000,'44025',1,'MT','.106054','EA','',2.00000,'TENSION LINK B3 A62-5',08/20/2019,'Material'
335.23000,'44026',1,'NS','','EA','',2.00000,'ENGINE PARAMETERS  10339  10340',08/20/2019,'Non-Inventory'
210.00000,'44028',1,'NS','','EA','',2.00000,'TWO SECTION MANIFOLD  DD03P0022S/PA',09/04/2019,'Non-Inventory'
115.00000,'44029',1,'MT','.104633','EA','',10.00000,'MANIFOLD ADAPTOR ASSEMBLY FV-13303-V1',10/16/2019,'Material'
969.13000,'44030',1,'MT','.104634','EA','',5.00000,'MANIFOLD LOWER A62 FV-7856-V4',11/27/2019,'Material'
969.13000,'44030',2,'MT','.104634','EA','',5.00000,'MANIFOLD LOWER A62 FV-7856-V4',01/30/2020,'Material'
700.00000,'44031',1,'NS','','EA','',1.00000,'MOVE COOLANT LINE   S/N 10341',08/21/2019,'Non-Inventory'
