'Amt','Pono','RowNum','ReqPrc.RequisitType','ReqPrc.ItemNo','ReqPrc.UOMPurchase','ReqPrc.JobNo','Qtyremn','Desc','Reqdate','0.cLineTypeDesc'
7570.00000,'43300',1,'IN','.103770','EA','',2.00000,'ENGINE ISUZU 10 KW  3CE1 TIER 4 FINAL',07/18/2019,'Inventory'
3.87000,'43305',24,'IN','.100148','EA','',2.00000,'FITTING MBSPP-MJ 7002-04-08',06/21/2019,'Inventory'
21.75000,'43324',1,'IN','.095444','EA','',10.00000,'BAR CLAMP OUTER BM-  1/2 DIA X 7-1/2" LG',05/30/2019,'Inventory'
3.35000,'43327',6,'IN','.067616','EA','',100.00000,'DEUTSCH SOCKET 0462-201-16141',07/10/2019,'Inventory'
44.00000,'43346',14,'IN','.095845','EA','',1.00000,'DP600/700 CONTROLS COVER -CANVAS',07/18/2019,'Inventory'
44.00000,'43346',15,'IN','.095845','EA','',1.00000,'DP600/700 CONTROLS COVER -CANVAS',07/18/2019,'Inventory'
2175.00000,'43394',2,'IN','.091156','EA','',5.00000,'CYLINDER BOOM 3 A62 6.0 X 39 X 3.0',08/28/2019,'Inventory'
793.00000,'43394',5,'IN','.091151','EA','',5.00000,'CYLINDER BOOM 4 A62  3.5 X 16 X 1.5',08/28/2019,'Inventory'
87.50000,'43420',1,'IN','.095871','EA','',6.00000,'PROXIMITY SENSOR  8MM SENSE RANGE',06/07/2019,'Inventory'
293.00000,'43427',1,'IN','.102553','EA','',20.00000,'CYLINDER 3 X 3.50  FRONT AXLE LOCK',08/29/2019,'Inventory'
