'OeLin.OrderNo','OeLin.LineItemType','OeLin.RowNum','OeLin.ItemNumber','OeLin.Description','IOS.SellQtyRemain','IOS.SellUnitPrice','Total.RemainingNetWDiscWTax'
'13938','0',1,'.097397','INTERCOM FRC FIELD REPLACEMENT KIT',1.00000,4511.13000,4838.19000
'13944','0',5,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'13944','1',4,'','2 DAYS ONE GUY FOR INSTALLATION',1.00000,6150.00000,6595.88000
'13944','0',3,'.100623','WELDMENT ADJ CAB STAND FRC INTERCOM B32',1.00000,1257.68000,1348.86000
'13944','0',2,'.097453','COVER CANVAS FRC INTERCOM T1',2.00000,136.61000,293.03000
'13944','0',1,'.097397','INTERCOM FRC FIELD REPLACEMENT KIT',1.00000,4511.13000,4838.19000
'13997','0',1,'.093740','SPACER PLATE FOR 34" SUBFRAME',4.00000,29.20000,116.80000
'13997','0',2,'.093633','SLIDING COUNTERWEIGHT CARRIER WELDMENT',1.00000,6835.00000,6835.00000
'13997','0',6,'.093620','WEAR PAD 5/8 X 4 X 4 COUNTERWEIGHT',8.00000,41.75000,334.00000
'13997','0',5,'.093619','WEAR PAD CTWT 1" X 4 X 32',2.00000,153.97000,307.94000
'13997','0',4,'.093646','COUNTER WEIGHT COVER PLATE',2.00000,74.65000,149.30000
'13997','0',16,'.093604','SPROCKET MODIFIED #80, 18T',4.00000,283.50000,1134.00000
'13997','0',15,'.093602','CYLINDER COUNTERWEIGHT 4 X 30 X 2.25',1.00000,5719.55000,5719.55000
'13997','0',14,'.093739','HALF LINK #80 CHAIN COTTER TYPE',4.00000,19.10000,76.40000
'13997','0',13,'.093684','WELDMENT PROX TARGET REAR CTWT',1.00000,128.45000,128.45000
'13997','0',12,'.098713','MASTER LINK #80 CHAIN COTTER TYPE',8.00000,7.17000,57.36000
'13997','0',11,'.098542','CHAIN ROLLER  #80 STANDARD x 10 FT',4.00000,459.25000,1837.00000
'13997','0',10,'.093609','THREADED ROD 5/8-11 NC X 6 1/4',4.00000,6.20000,24.80000
'13997','0',9,'.093608','CHAIN ANCHOR 3/4 ASTM A514-B',4.00000,251.85000,1007.40000
'13997','0',8,'.093624','PROX HOLDER CURVED 10 GA STAINLESS REV A',2.00000,107.49000,214.98000
'13997','0',7,'.093667','PROX HOLDER STOW 10 GA STAINLESS',1.00000,106.06000,106.06000
'13997','0',19,'.093622','SLIDER PAD CTWT CYLINDER 1" X 3" UHMW',2.00000,71.97000,143.94000
'13997','0',18,'.093606','SPROCKET CAP 1/4 x 3.50 DIA',4.00000,67.50000,270.00000
'13997','0',17,'.093605','SPROCKET SHAFT 2.500 4140 HT X 4.875',1.00000,329.41000,329.41000
'13997','1',20,'','.066831 THRUST WASHER NYLON 4 OD X 2',8.00000,21.05000,168.40000
'13997','1',22,'','MICS HARDWARE SUPPLIES',1.00000,250.00000,250.00000
'13997','0',21,'.064137','BEARING DX 2 1/2 X 1 1/2',8.00000,16.32000,130.56000
'13997','1',26,'','2 CTR WGT HOSE ASSYS',1.00000,352.19000,352.19000
'13997','0',27,'LABOR','FACTORY REPAIR LABOR',150.00000,128.65000,19297.50000
'13997','0',25,'.095876','CORDSET  4-PIN  10 METER LONG',3.00000,88.75000,266.25000
'13997','0',24,'.095871','PROXIMITY SENSOR  8MM SENSE RANGE',3.00000,218.75000,656.25000
'13997','0',23,'.093661','CTWT MOUNT PLATE FOR 34" SUBFRAME',4.00000,273.75000,1095.00000
'13997','1',33,'','PREP AND PAINT PARTS',1.00000,2500.00000,2500.00000
'13997','0',32,'.093613','PAD RETAINER 5 X 5 X 3/8 TUBE X 7/16 SPL',4.00000,26.50000,106.00000
'13997','0',31,'.093612','PAD RETAINER 5 X 5 X 3/8 TUBE X 7/16',8.00000,18.87000,150.96000
'13997','0',30,'.093682','TARGET MOUNT TAPPED PLATE 1/2 X 2 X 3.5',1.00000,34.42000,34.42000
'13997','0',29,'.093611','CHAIN ANCHOR 3/4 A514-B',4.00000,80.30000,321.20000
'13997','0',28,'.093616','PLATE CTWT 6 X 9 X 33 1/2',2.00000,935.00000,1870.00000
'14020','0',1,'.069382','RADIO CONTROL ASSEMBLY  BOX 7 FUNCTION',1.00000,12088.20000,12088.20000
'14020','0',3,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'14020','0',2,'.069383','RADIO CONTROL TRANSMITTER SPARE',1.00000,8762.15000,8762.15000
'14050','0',8,'.091196','SPACER 2-1/2" SCH 80 PVC X 1/2 LG',2.00000,10.32000,20.64000
'14050','0',7,'.091165','SPACER 3.00 OD X 2.03 ID X  2.75 LG',1.00000,50.69000,50.69000
'14050','0',6,'.092181','PIN 2.00 DIA X 7.00',1.00000,113.15000,113.15000
'14050','0',5,'.092180','PIN 2.00 DIA X 7.75',1.00000,120.45000,120.45000
'14050','0',4,'.020395','BEARING DX  2 ID X 1 LG',14.00000,10.27000,143.78000
'14050','0',3,'.091164','SPACER 3.00 OD X 2.03 ID X  5.63 LG',1.00000,59.95000,59.95000
'14050','0',2,'.097307','PIN 2.00 DIA X 12.88',2.00000,237.25000,474.50000
'14050','0',1,'.058096','GFI OUTLET 15 AMP  WT599-W  WHITE',1.00000,44.55000,44.55000
'14050','0',10,'.027951','WEAR PAD 1/4 X 2 NYLON X 4',2.00000,14.27000,28.54000
'14050','0',9,'.097977','JOYSTICK MAGNATEK XLTX',1.00000,301.78000,301.78000
'14050','0',11,'NON-STOCK PARTS','ENABLE SWITCH 178-01600-0220',2.00000,618.09000,1236.18000
'14116','0',1,'.097397','INTERCOM FRC FIELD REPLACEMENT KIT',1.00000,4511.13000,4511.13000
'14116','0',6,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'14116','0',5,'.650865','BELT SWITCH EXTENSION CORD 25 FEET',1.00000,205.33000,205.33000
'14116','0',4,'.029497','HEADSET MODIFICATION',1.00000,994.62000,994.62000
'14116','0',3,'.029669','MODIFIED BELT SWITCH',1.00000,556.29000,556.29000
'14116','0',2,'.097453','COVER CANVAS FRC INTERCOM T1',2.00000,136.61000,273.22000
'14151','0',2,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'14151','0',1,'.095657','FLOW COMP FIELD KIT',1.00000,440.68000,440.68000
'14228','0',4,'.564197','PRESSURE GAUGE HYDRAULIC 3000 PSI',1.00000,62.50000,62.50000
'14228','0',3,'.026973','COUNTERBALANCE VALVE  4:1  3000 PSI',4.00000,180.78000,723.12000
'14228','0',2,'.063047','LIGHT RED IND1118',1.00000,14.73000,14.73000
'14228','0',1,'.063048','LIGHT GREEN IND 1117',1.00000,14.73000,14.73000
'14282','0',2,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'14282','0',1,'.103372','PLATFORM ANCHOR MOUNT - FIELD A62/A75',1.00000,1990.11000,1990.11000
'14308','0',1,'SK19063','SEAL KIT FOR A62-1 B1, B2, B3, T2',1.00000,297.90000,297.90000
'14308','0',2,'.022404','TERMINAL STRIP 8 POLE WAYTEK 47108',1.00000,5.37000,5.37000
'14308','0',3,'.100618','CONNECTOR FEMALE BM8151-0/PG9',1.00000,70.55000,70.55000
'14308','0',4,'.095664','FILTER ELEMENT 6 MICRON ABSOLUTE',1.00000,140.00000,140.00000
'14308','0',5,'.096703','FILTER ELEMENT PRESSURE 6000 PSI',2.00000,221.12000,442.24000
'14308','0',7,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'14309','0',1,'.063424','ADJUSTABLE LATCH  C2-32-27',1.00000,65.08000,65.08000
'14309','0',2,'.095664','FILTER ELEMENT 6 MICRON ABSOLUTE',1.00000,140.00000,140.00000
'14309','0',3,'.096703','FILTER ELEMENT PRESSURE 6000 PSI',2.00000,221.12000,442.24000
'14309','0',5,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'14375','0',1,'.096321','RADIO CONTROL PACKAGE A62 125 FT TETHER',1.00000,8468.87000,8468.87000
'14375','0',2,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'14467','0',1,'.026786','LEVELING TUBE WELDMENT UB50-60',1.00000,2604.24000,2604.24000
'14590','0',1,'.067488','RUBBER PAD PLATFORM REST 10 1/2" LG',1.00000,119.75000,119.75000
'14590','0',2,'.059409','COVER OUTLET GFI VERTICAL WGF100CV',1.00000,21.93000,21.93000
'14590','0',3,'.029089','SIGHT GAUGE 10"',1.00000,65.90000,65.90000
'14590','0',4,'.021837','SNAP RING 2 X .120  5160-200 ZYT',4.00000,3.18000,12.72000
'14590','0',5,'.060749','PIN DETAIL 2 4140 TGP X 9 1/2',1.00000,111.22000,111.22000
'14590','0',6,'.060800','ROLLER PIN 1 CD1018 X 9',2.00000,91.25000,182.50000
'14590','0',7,'.026108','BEARING',4.00000,56.30000,225.20000
'14590','0',8,'.060767','ROLLER NYLON 2 1/2OD X 1 3/4ID X 6 7/16',2.00000,182.50000,365.00000
'14590','0',9,'.021113','BEARING DX  2 ID X 1 1/2 LG',4.00000,13.27000,53.08000
'14590','0',10,'.020215','NYLON WEAR PAD 3/4 X 2 X 4 15/16',2.00000,108.37000,216.74000
'14590','0',11,'.060053','NYLON WEAR PAD 5/8 X 1 7/8 X 7',1.00000,108.91000,108.91000
'14590','0',12,'.060734','ROLLER ASSEMBLY INSIDE THIRD BOOM TELE',1.00000,948.12000,948.12000
'14590','0',13,'.060746','1 1/2 ROLLER PIN WELDMENT',1.00000,78.04000,78.04000
'14590','0',14,'.023144','BEARING DX  1 1/2 ID X 1 LG',2.00000,9.45000,18.90000
'14590','0',15,'.039847','PIN WELDMENT TGP 1 1/2 X 7 7/16',1.00000,109.50000,109.50000
'14590','0',16,'.060718','FOURTH BOOM LINKAGE ARM DETAIL ALUMINUM',1.00000,666.70000,666.70000
'14590','0',17,'.060918','PIN WELDMENT 1 1/2 4140 TGP X 7 5/8',2.00000,88.08000,176.16000
'14590','0',18,'.060915','PIN WELDMENT 1 1/2 4140 TGP X 4 15/16',1.00000,108.08000,108.08000
'14590','0',19,'.060917','PIN DETAIL 1 1/2 4140 TGP X 5 7/16',1.00000,66.62000,66.62000
'14590','0',20,'.060920','SPACER 1 1/2 BLKP X 3 1/8 LG',1.00000,34.32000,34.32000
'14590','0',21,'.023219','NUT NF 1 1/4 NYLOCK JAM PLATED',3.00000,18.37000,55.11000
'14590','0',22,'.023034','SNAP RING 1 1/2 X .109  5160-150 ZYT',4.00000,6.65000,26.60000
'14590','0',23,'.023144','BEARING DX  1 1/2 ID X 1 LG',4.00000,9.45000,37.80000
'14590','0',24,'.060926','MODIFICATION 1 1/2 DX BEARING X 3/4',4.00000,50.78000,203.12000
'14590','0',26,'.032367','BEARING DX  1 1/2 ID X 1 1/2',3.00000,8.55000,25.65000
'14590','0',27,'.026858','WELDMENT PLATFORM KNUCKLE LINKAGE',2.00000,343.81000,687.62000
'14590','0',28,'.026861','WELDMENT PLATFORM KNUCKLE LINKAGE',2.00000,564.76000,1129.52000
'14590','0',29,'.026865','PIN WELDMENT 1 1/2 4140 TGP X 6 3/8 GRIP',1.00000,98.55000,98.55000
'14590','0',30,'.026867','PIN WELDMENT 1 1/2 X 12 9/16 GRIP',2.00000,109.50000,219.00000
'14590','0',31,'.026869','PIN WELDMENT 1 1/2 X 11 7/32 GRIP',1.00000,94.90000,94.90000
'14590','0',32,'.026871','PIN WELDMENT 1 1/2 X 9 13/16 GRIP',1.00000,102.20000,102.20000
'14590','0',33,'.027074','PIPE SPACER 1 1/2 X 9 11/16',1.00000,37.68000,37.68000
'14590','0',34,'.023219','NUT NF 1 1/4 NYLOCK JAM PLATED',1.00000,18.37000,18.37000
'14590','0',35,'.023034','SNAP RING 1 1/2 X .109  5160-150 ZYT',4.00000,6.65000,26.60000
'14590','1',36,'','WASHER NYLON THR 2 1/2 X 1.532 ID X 1/16',12.00000,3.20000,38.40000
'14590','0',37,'.023144','BEARING DX  1 1/2 ID X 1 LG',12.00000,9.45000,113.40000
'14590','0',38,'.060717','FOURTH BOOM LINKAGE ARM WELDMENT',1.00000,1205.70000,1205.70000
'14590','1',39,'','WASHER NYLON THR 2 1/2 X 1.532 ID X 1/16',22.00000,3.20000,70.40000
'14590','1',40,'','WASHER THRUST 3 OD X 1.5 ID X 18 GA',4.00000,0.55000,2.20000
'14590','0',41,'.060743','NYLON ROLLER 4 OD X 3 ID X 6 1/4',2.00000,200.75000,401.50000
'14590','0',42,'SK16964','SEAL KIT FOR B3 TELE 063009 A30/UB30 TX',1.00000,103.47000,103.47000
'14590','0',43,'SK16958','SEAL KIT FOR BOOM-2 CYLINDER 063000 TX',1.00000,139.60000,139.60000
'14590','1',44,'','FRONT AXLE LOCK JUMPER HOSE',1.00000,62.77000,62.77000
'14590','0',45,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'14591','0',1,'.049077','DECAL ELECTROCUTION HAZARD',1.00000,23.58000,23.58000
'14591','0',2,'.065914','PUMP TRIPLE P124L CW ROTATION',1.00000,1688.40000,1688.40000
'14591','0',3,'.063897','MUD FLAP STA-PUT B36SPP 24" X 36"',1.00000,43.85000,43.85000
'14591','0',4,'.651965','OIL FILTER ISUZU 3CD-1 ENGINE',1.00000,37.12000,37.12000
'14591','0',5,'.651967','FUEL FILTER ISUZU 3CD-1 ENGINE',1.00000,58.85000,58.85000
'14591','0',6,'.650971','AIR FILTER 3LD1 3CD-1',1.00000,45.17000,45.17000
'14591','0',7,'.564196','PRESSURE GAUGE HYDRAULIC 5000 PSI',1.00000,62.50000,62.50000
'14591','0',8,'.102616','LOCK BAR ADJUSTING HOUSING WELDMENT',1.00000,704.45000,704.45000
'14591','0',9,'.097250','LOCKOUT WELDMENT- REAR AXLE LOCK',1.00000,980.32000,980.32000
'14591','0',10,'.097251','NUT JAM 1+1/2 -6 NC GRADE 8',1.00000,22.63000,22.63000
'14591','0',11,'.059728','SHOCK ABSORBER W/ COIL SPRING',1.00000,149.97000,149.97000
'14591','0',12,'.067777','MUD FLAP  STA-PUT B24SPP',1.00000,25.90000,25.90000
'14591','0',13,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'14594','0',1,'.069847','DIN CONNECTOR W/LED 2291.3301',1.00000,11.68000,12.53000
'14594','0',2,'.069306','MOUNTING CLIP 3/4 100K STEEL',1.00000,182.50000,195.73000
'14594','0',3,'.102616','LOCK BAR ADJUSTING HOUSING WELDMENT',2.00000,704.45000,1511.05000
'14594','0',4,'.097250','LOCKOUT WELDMENT- REAR AXLE LOCK',2.00000,980.32000,2102.79000
'14594','0',5,'.097251','NUT JAM 1+1/2 -6 NC GRADE 8',2.00000,22.63000,48.54000
'14594','0',6,'.026786','LEVELING TUBE WELDMENT UB50-60',1.00000,2604.24000,2793.05000
'14594','1',7,'','PREP AND PAINT',1.00000,637.50000,683.72000
'14594','0',8,'SPECIAL HANDLING & CRATING','SPECIAL HANDLING & CRATING CHARGES',1.00000,350.00000,375.38000
'14594','1',11,'','REPAIR OF THRUCK AT CALTRANS',1.00000,6695.00000,7180.39000
'14594','0',10,'.025291','BEARING DX  2 1/2 ID X 2 LG',4.00000,22.47000,96.40000
'14594','0',12,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'14606','0',1,'.103372','PLATFORM ANCHOR MOUNT - FIELD A62/A75',1.00000,1354.75000,1354.75000
'14606','0',2,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'14613','0',1,'.100996','INTERCOM FRC FIELD REPLACEMENT KIT',1.00000,4801.32000,4801.32000
'14613','0',2,'.063754','CABLE 18/4 SO SHIELDED  BELDEN 9418',160.00000,2.26000,361.60000
'14613','0',3,'.100120','WELDMENT ADJ CAB STAND FRC INTERCOM A62',1.00000,689.47000,689.47000
'14613','0',4,'.097453','COVER CANVAS FRC INTERCOM T1',2.00000,138.70000,277.40000
'14770','0',1,'.069480','SUPERFLEX CONTROLLER  SF4X-4-245',1.00000,2128.50000,2128.50000
'14770','0',2,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'14784','0',1,'.093186','GATE WELDMENT A52 FIBERGLASS PLATFORM',1.00000,875.00000,952.88000
'14784','0',2,'.095096','LATCH CAB LH 55ZN ZINC',1.00000,13.75000,14.97000
'14784','0',3,'.063185','STAINLESS GRAB HANDLE 24" 624-SS',2.00000,52.83000,115.07000
'14784','0',4,'.093476','WEAR PAD 1/2 X 1 X 2 UHMW',1.00000,58.57000,63.79000
'14784','0',5,'.091089','HINGE 4" STAINLESS STEEL  5/16 PIN',2.00000,20.65000,44.97000
'14784','0',6,'.065659','STRIKER ZINC 5620ZN',1.00000,8.80000,9.58000
'14784','0',7,'.093183','PLATFORM FIBERGLASS WITH REAR DOOR',1.00000,5253.40000,5720.95000
'14784','0',8,'.093195','GATE FRAME WELDMENT - ALUMINUM A52',1.00000,5271.91000,5741.11000
'14784','0',9,'SPECIAL HANDLING & CRATING','SPECIAL HANDLING & CRATING CHARGES',1.00000,500.00000,544.50000
'14797','0',1,'.027126','DECAL UNIT DRIVE POSITION',1.00000,24.71000,26.57000
'14797','0',2,'.064507','DECAL MAX CAPACITY 1500 LB TOTAL',1.00000,54.75000,58.87000
'14797','0',3,'.065581','DECAL BOOM STOPS  (2 SHEETS)',1.00000,219.00000,235.48000
'14797','0',4,'.047521','DECAL DANGER ELECTROCUTION HAZARD',1.00000,31.72000,34.11000
'14797','0',5,'.065050','DECAL DANGER KEEP CLEAR',1.00000,24.96000,26.84000
'14797','0',6,'.065372','LED MAP A40  BLACK BACKGROUND',1.00000,182.50000,196.23000
'14797','0',7,'.063048','LIGHT GREEN IND 1117',1.00000,14.73000,15.84000
'14797','0',8,'.063047','LIGHT RED IND1118',2.00000,14.73000,31.68000
'14797','0',9,'.564197','PRESSURE GAUGE HYDRAULIC 3000 PSI',1.00000,62.50000,67.20000
'14797','0',10,'.069523','SHIM PLATE-REAR AXLE LOCK 1/2 X 4 FB',1.00000,43.68000,46.97000
'14797','0',11,'.069524','SHIM PLATE-REAR AXLE LOCK 1/2 X2 FB',1.00000,34.36000,36.95000
'14799','0',1,'.047521','DECAL DANGER ELECTROCUTION HAZARD',1.00000,31.72000,34.11000
'14799','0',2,'.049077','DECAL ELECTROCUTION HAZARD',4.00000,23.58000,101.42000
'14799','0',3,'.027126','DECAL UNIT DRIVE POSITION',1.00000,24.71000,26.57000
'14799','0',4,'.063048','LIGHT GREEN IND 1117',1.00000,14.73000,15.84000
'14799','0',5,'.063047','LIGHT RED IND1118',2.00000,14.73000,31.68000
'14799','0',6,'.067761','OIL COOLER WITH 12 VOLT FAN  E-COAT',1.00000,867.50000,932.78000
'14799','0',7,'.040027','FOOT SWITCH 7024K11',1.00000,107.90000,116.02000
'14799','0',13,'.026711','BEARING WIDE INNER RING RA-108-RR',2.00000,124.50000,267.74000
'14799','0',12,'.100600','ROLLER 3RD BOOM 4 OD X 8 LG POLY',1.00000,317.78000,341.69000
'14799','0',11,'.026807','TUBE DETAIL 4" X 4" X 1/4" X 20''-0"',1.00000,743.65000,799.61000
'14799','0',10,'.020456','WEAR PAD 1/4 X 2 X 4 1/2 NYLON',1.00000,25.23000,27.13000
'14799','0',9,'.025811','SNAP RING 3/4" SHR-75',4.00000,0.45000,1.94000
'14799','0',8,'.564197','PRESSURE GAUGE HYDRAULIC 3000 PSI',1.00000,62.50000,67.20000
'14813','0',11,'.093535','DOCK BUMPER 4" LONG',4.00000,45.22000,180.88000
'14813','1',2,'','CABLE 18 INCH BODY BOX',4.00000,5.00000,20.00000
'14813','0',3,'.564196','PRESSURE GAUGE HYDRAULIC 5000 PSI',2.00000,62.50000,125.00000
'14813','0',4,'.095314','ANTENNA-MAXROD RADIO CONTROLS',1.00000,79.38000,79.38000
'14813','0',5,'.091161','BUMPER 3.00 DIA X 4.50',2.00000,54.53000,109.06000
'14813','0',6,'.062994','GFI OUTLET COVER DOUBLE VERTICAL 50450',1.00000,39.37000,39.37000
'14813','0',7,'.058096','GFI OUTLET 15 AMP  WT599-W  WHITE',2.00000,49.27000,98.54000
'14813','0',8,'.097250','LOCKOUT WELDMENT- REAR AXLE LOCK',1.00000,847.32000,847.32000
'14813','0',9,'.102616','LOCK BAR ADJUSTING HOUSING WELDMENT',1.00000,740.95000,740.95000
'14813','0',10,'.097251','NUT JAM 1+1/2 -6 NC GRADE 8',1.00000,22.63000,22.63000
'14813','0',12,'.031307','RATCHET  2" - NO STRAP',1.00000,19.37000,19.37000
'14813','0',13,'.061468','STRAP NYLON 2" X 100" W/ FLAT HOOK ON EN',1.00000,38.37000,38.37000
'14813','0',14,'.091122','GFI OUTLET COVER MARINE GRADE',1.00000,75.97000,75.97000
'14813','0',15,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'14819','0',1,'.027126','DECAL UNIT DRIVE POSITION',1.00000,24.71000,26.57000
'14819','0',2,'.047521','DECAL DANGER ELECTROCUTION HAZARD',1.00000,31.72000,34.11000
'14819','0',3,'.049077','DECAL ELECTROCUTION HAZARD',3.00000,23.58000,76.06000
'14819','0',4,'.652150','BREATHER ELEMENT PARKER FILTER 934301',1.00000,41.78000,44.92000
'14819','0',5,'.025640','LATCH ROTARY 1 400 Z  RH',1.00000,26.40000,28.39000
'14819','0',6,'.025892','HANDLE 1/4 X 1 ALUMINUM FLAT BAR',1.00000,36.50000,39.25000
'14819','0',7,'.063047','LIGHT RED IND1118',1.00000,14.73000,15.84000
'14819','0',8,'.066153','HOCKEY PUCK HOSE GUIDE UB50-1/A75',1.00000,138.73000,149.17000
'14819','0',9,'.069847','DIN CONNECTOR W/LED 2291.3301',13.00000,11.68000,163.27000
'14819','0',10,'.062245','COIL DIN PARKER 851019-012VDC',13.00000,120.12000,1679.07000
'14819','0',11,'.040027','FOOT SWITCH 7024K11',1.00000,107.90000,116.02000
'14819','0',12,'.564197','PRESSURE GAUGE HYDRAULIC 3000 PSI',1.00000,62.50000,67.20000
'14819','0',13,'.564196','PRESSURE GAUGE HYDRAULIC 5000 PSI',1.00000,62.50000,67.20000
'14819','0',14,'NON-STOCK PARTS','REPLACE ALL HYDRAULIC HOSES ON UNIT',1.00000,35564.38000,38240.60000
'14836','0',1,'.100803','HAWE TWIN SOLENOID  DEUTSCH',1.00000,448.50000,448.50000
'14836','0',2,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'14875','0',1,'.093535','DOCK BUMPER 4" LONG',2.00000,45.22000,90.44000
'14875','0',2,'.091187','SPACER TUBE 1.25 OD X .72 ID X 7 1/4 UHM',1.00000,34.67000,34.67000
'14875','0',3,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'14889','0',1,'.020395','BEARING DX  2 ID X 1 LG',8.00000,10.27000,82.16000
'14889','0',2,'.069961','BEARING DX 1-1/2  X  3/4 LG',8.00000,5.22000,41.76000
'14889','0',3,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'14903','0',1,'.067907','HOSE GROMMET- POLY MATERIAL A52/62',2.00000,233.25000,466.50000
'14903','0',2,'.067904','WELDMENT HOSE/WIRE MOUNT A52/62',2.00000,276.09000,552.18000
'14903','0',3,'.092269','CATRAC TUBE WELDMENT A62-1 BM 3',1.00000,1502.13000,1502.13000
'14903','0',4,'.028010','HOSE CARRIER SC-75 GTW 11811',1.00000,1105.50000,1105.50000
'14903','0',5,'.091192','PLATE CLAMP OUTER BM 3',1.00000,78.23000,78.23000
'14903','0',6,'.091193','BAR CLAMP OUTER BM 3 STAINLESS 1/2"',1.00000,91.25000,91.25000
'14903','0',7,'.091187','SPACER TUBE 1.25 OD X .72 ID X 7 1/4 UHM',1.00000,34.67000,34.67000
'14903','0',8,'.091160','ROLLER WHEEL .50 X  2.00 DIA',2.00000,11.17000,22.34000
'14903','0',9,'.092264','CATRAC SUPPORT WELDMENT BM3   A62-1',1.00000,588.63000,588.63000
'14903','0',10,'.091183','HOSE CARRIER  A62-1 BOOM 4',1.00000,137.45000,137.45000
'14903','0',11,'.652097','FAN 12 VOLT FOR OIL COOLER 067761',1.00000,281.85000,281.85000
'14903','0',12,'.064752','BELLOWS  2 1/2" ID X 6 OD X 63 EXTENDED',2.00000,697.90000,1395.80000
'14903','0',13,'.102616','LOCK BAR ADJUSTING HOUSING WELDMENT',1.00000,740.95000,740.95000
'14903','0',14,'.097250','LOCKOUT WELDMENT- REAR AXLE LOCK',1.00000,847.32000,847.32000
'14903','0',15,'.097251','NUT JAM 1+1/2 -6 NC GRADE 8',1.00000,22.63000,22.63000
'14903','0',16,'.097088','WEAR PAD 3/8" X 5" X 4" UHMW',1.00000,26.22000,26.22000
'14903','0',17,'.092259','CATRAC BOX  WELDMENT A62-1 BM 3',1.00000,1621.23000,1621.23000
'14903','0',18,'.095008','CAPSCREW 5/8-11 UNC X 9" LG GR 8',1.00000,22.75000,22.75000
'14903','0',19,'.095007','CAPSCREW 5/8-11 UNC X 8-1/2" LG GR 8',3.00000,21.35000,64.05000
'14903','0',20,'.095245','CAPSCREW 5/8-11 UNC X 10" LG GR 8',4.00000,24.10000,96.40000
'14903','0',21,'.091189','SPACER PIPE 3/4" SCH 80 PVC X 1 1/4',2.00000,8.83000,17.66000
'14903','0',22,'.091190','SPACER PIPE 3/4" SCH 80 PVC X 2 1/2',1.00000,11.96000,11.96000
'14903','0',23,'.091198','DOCK BUMPER MODIFICATION A62-1',1.00000,60.60000,60.60000
'14903','0',24,'.093456','BOOM 3 INNER WELDMENT A62-3',1.00000,8374.62000,8374.62000
'14903','0',25,'.091158','WEAR PAD .50 X 1.50 X 4.00',13.00000,32.04000,416.52000
'14903','0',26,'.097404','LEVEL SENSOR 9.9 DEGREE SLOPE',1.00000,454.97000,454.97000
'14903','0',27,'.092153','PUSH LINK B4 A62-1',2.00000,237.25000,474.50000
'14903','0',28,'.092154','TENSION LINK B4 A62-1',2.00000,237.25000,474.50000
'14903','0',29,'.092131','LEVEL FRAME WELDMENT A62-1',1.00000,2006.19000,2006.19000
'14903','0',30,'.091167','SPACER 2.50 OD X 1.53 ID X  1.875 LG',1.00000,22.45000,22.45000
'14903','0',31,'.092155','PUSH LINK PLATFORM A62-1',2.00000,200.75000,401.50000
'14903','0',32,'.092156','TENSION LINK PLATFORM A62-1',2.00000,255.50000,511.00000
'14903','0',33,'.091220','PIN WELDMENT 2" X 12.75 A62 BOOM-4',2.00000,220.83000,441.66000
'14903','0',34,'.092180','PIN 2.00 DIA X 7.75',1.00000,120.45000,120.45000
'14903','0',35,'.092181','PIN 2.00 DIA X 7.00',1.00000,113.15000,113.15000
'14903','0',36,'.092185','PIN 1.50 DIA X 8.38',2.00000,94.90000,189.80000
'14903','0',37,'.092186','PIN 1.50 DIA X 8.00',1.00000,94.90000,94.90000
'14903','0',38,'.093171','PIN 1.50 4140 HT X 5.00',1.00000,87.60000,87.60000
'14903','0',39,'.092182','PIN 2.00 DIA X 4.53',1.00000,94.90000,94.90000
'14903','0',40,'.091164','SPACER 3.00 OD X 2.03 ID X  5.63 LG',1.00000,59.95000,59.95000
'14903','0',41,'.091165','SPACER 3.00 OD X 2.03 ID X  2.75 LG',1.00000,50.70000,50.70000
'14903','0',42,'.091166','SPACER 2.50 OD X 1.53 ID X  3.50 LG',1.00000,33.54000,33.54000
'14903','0',43,'.095524','PIN 1.25 DIA X 6.00',1.00000,76.65000,76.65000
'14903','0',44,'.091196','SPACER 2-1/2" SCH 80 PVC X 1/2 LG',2.00000,5.75000,11.50000
'14903','0',45,'.069961','BEARING DX 1-1/2  X  3/4 LG',12.00000,5.22000,62.64000
