Company,PartNum,PartDescription,IUM,PUM,ClassID,ProdCode,CommodityCode,TypeCode,CostMethod,BuyToOrder,UOMClassID,PhantomBOM,NonStock,Type_c,UnitPrice,TrackSerialNum,SNFormat,SNBaseDataType,,,,TrackSerialNum
VUK,00-8323-40-04,Slide Pad Inner,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,112.49,0,,,,,,
VUK,008-545-85-07,Sprinter Beacon Switch 511-515,EA,EA,20,20,8431390000,P,A,0,Count,FALSE,FALSE,Other,38.4,0,,,,,,
VUK,00-8685-10-03,Lat 160 Bush,EA,EA,13,13,8431390000,P,A,0,Count,FALSE,FALSE,Other,64.94,0,,,,,,
VUK,00-8963-00-02,Slidepad Telescope,EA,EA,35,35,8431390000,P,A,0,Count,FALSE,FALSE,Other,66.96,0,,,,,,
VUK,00-8963-00-06,Slidepad Telescope,EA,EA,35,35,8431390000,P,A,0,Count,FALSE,FALSE,Other,21.86,0,,,,,,
VUK,00-8963-01-01,Cattrack,EA,EA,35,35,4009320090,P,A,0,Count,FALSE,FALSE,Other,315.42,0,,,,,,
VUK,00-9276-00-02,Slidepad,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,16.95,0,,,,,,
VUK,00-9276-00-19, Slide Block For Cover,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,34.64,0,,,,,,
VUK,00-9276-00-20, Slide Block,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,23.65,0,,,,,,
VUK,00-9276-00-21,Cover For Cylinder,EA,EA,18,18,3926909790,P,A,0,Count,FALSE,FALSE,Other,166.17,0,,,,,,
VUK,00-9276-00-25,Distance Piece,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,13.42,0,,,,,,
VUK,00-9276-40-02,Flyboom Section,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,287.93,0,,,,,,
VUK,00-9276-50-01,Boom Head Weld   Lat Machines,EA,EA,18,18,8536501110,P,A,0,Count,FALSE,FALSE,Other,455.37,0,,,,,,
VUK,00-9323-00-05,Pin Cylinder Base,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,173.01,0,,,,,,
VUK,00-9414-10-01,Lower Boom Weld,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,1981.3,0,,,,,,
VUK,00-9415-11-01-67,Compensation Link Weld,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,596.95,0,,,,,,
VUK,0097-001,Chrome Handle,EA,EA,35,35,8431390000,P,A,0,Count,FALSE,FALSE,Other,4.2,0,,,,,,
VUK,01-029,Vinyl Cover-Earth Reel (To Fit Reels Pt,EA,EA,10,10,8431390000,P,A,0,Count,FALSE,FALSE,Other,63.33,0,,,,,,
VUK,01-10365-00-02,"Packer Iveco Mainframe,12mm Wizadeck",EA,EA,31,31,8431390000,P,A,0,Count,FALSE,FALSE,Other,70,0,,,,,,
VUK,012-545-04-07,Rocker Switch (24V) - [Euro 6] Unimog,EA,EA,20,20,8431390000,P,A,0,Count,FALSE,FALSE,Other,101.82,0,,,,,,
VUK,013-545-60-26,Plug - [Euro6] Unimog,EA,EA,20,20,8431390000,P,A,0,Count,FALSE,FALSE,Other,3.14,0,,,,,,
VUK,013-545-78-26,Terminals - [Euro 6] Unimog,EA,EA,20,20,8431390000,P,A,0,Count,FALSE,FALSE,Other,3.99,0,,,,,,
VUK,0136-00-01,0136-00-01 Label - Cage Weight (230 Kg),EA,EA,9,9,8431390000,P,A,0,Count,FALSE,FALSE,Other,12.46,0,,,,,,
VUK,01-7033-00-02,Cover For Outrigger L/Rover,EA,EA,18,18,3926909790,P,A,0,Count,FALSE,FALSE,Other,243,0,,,,,,
VUK,0185-00-01,Cover F. Proximity Switch,EA,EA,18,18,3926909790,P,A,0,Count,FALSE,FALSE,Other,64.55,0,,,,,,
VUK,01-9179-00-02,Holder For Hydr. Tank,EA,EA,37,37,8431390000,P,A,0,Count,FALSE,FALSE,Other,46.02,0,,,,,,
VUK,01-9267-22-01,Cross Member,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,154.67,0,,,,,,
VUK,01-9469-08-01,Split Clamp,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,129.19,0,,,,,,
VUK,0200-545-6907,"Beacon Switch, Vario",EA,EA,20,20,8431390000,P,A,0,Count,FALSE,FALSE,Other,37.97,0,,,,,,
VUK,0206-10-04,Isolator With Load Cell,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,12.23,0,,,,,,
VUK,02-10061-00-01,Welded Foot Plate,EA,EA,31,31,8431390000,P,A,0,Count,FALSE,FALSE,Other,217.3,0,,,,,,
VUK,02-10366-00-02,Lower Part Piston,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,38.99,0,,,,,,
VUK,02-10366-00-03,Upper Part Piston,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,53.69,0,,,,,,
VUK,02-1476-00-01,Foot Plate,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,126.93,0,,,,,,
VUK,0-234-24,Fb4/1  (4 Way Fuse Holder),EA,EA,21,21,8431390000,P,A,0,Count,FALSE,FALSE,Other,5.1,0,,,,,,
VUK,0244-00-02,Decal Outrigger Control,EA,EA,18,18,3926909790,P,A,0,Count,FALSE,FALSE,Other,17.42,0,,,,,,
VUK,0244-00-05,Decal Emergency Lowering,EA,EA,18,18,3926909790,P,A,0,Count,FALSE,FALSE,Other,39.59,0,,,,,,
VUK,0244-00-07,"Decal, Emergency Lowering Control",EA,EA,9,9,8431390000,P,A,0,Count,FALSE,FALSE,Other,25.34,0,,,,,,
