Month,JobNo,CustPONo,CustomerID,Customer,OrderDate,RequestDate,NeedByDate,Shipping,Model,LiftSerialNo,LiftRecd,LiftWIP,VehicleType,ChassisNo,ChassisRecd,ChassisWIP,Supply,,SalesLineValue,WorkOrderNo,StockIssued,,Installation,Lift,Vehicle,WIP,NewServiceCall,NewJob,OpCode,OpCode2
March,17860,LC374071MB,CUST708,Leeds Commercials No2,2019/02/28,2019/03/22,2019/03/29,Collect,LAT-38-135-H,DKLAT-190002,Yes,No,Isuzu D-Max Euro 6,MPATFS87JJT007654,Yes,Yes,VDL Stk,,52177,10019,No,,INS LAT-38-135-H E6 DMAX,LAT-38-135-H E6 (Isuzu),VDL2000-064,43743,0,,,
March,17761,LC374068MB,CUST708,Leeds Commercials No1,2019/02/28,2019/03/22,2019/03/29,Collect,VTL-135-F,DKVTL-180016,Yes,Yes,Ford Transit Euro 6,WFOXXXTTTGXJA66903,Yes,No,FI,,29997,10266,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-072,17168,0,,,
March,17762,LC374069MB,CUST708,Leeds Commercials No2,2019/02/28,2019/03/22,2019/03/29,Collect,VTL-135-F,DKVTL-180017,Yes,Yes,Ford Transit Euro 6,WFOXXXTTGXJA66904,Yes,No,FI,,29997,10267,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-072,16881,0,,,
March,17780,8549,CUST1388,Epsilon Lighting,2019/02/28,2019/03/22,2019/03/29,Deliver,VTL-135-F,DKVTL-180035,Yes,Yes,Ford Transit Euro 6,WFOXXXTTGXJM57893,Yes,No,VDL Stk,,51936,10235,No,,INS VTL-135-F,VTL-135-F-D,VDL2000-053,0,0,,,
March,17628,40736824,CUST1391,Relay Engineering,2019/02/28,2019/03/22,2019/03/29,Deliver,ETL36-F E6,VB180026,Yes,Yes,Ford Transit Euro 6,WFOXXTTGXKC24106,Yes,No,VDL Stk,,56303,10177,No,,INS ETL36-F E6,ETL36-F E6,VDL2000-053,14444,0,,,
March,17869,0020/4300049572,CUST931,Electricity North West No8,2019/02/28,2019/03/22,2019/03/29,Deliver,LAT-38-135-H,DKLAT-180077,Yes,Yes,Isuzu D-Max Euro 6,MPATFS87JJT010130,Yes,No,FI,,33277,10122,Yes,,INS LAT-38-135-H E6 DMAX,LAT-38-135-H E6 (Isuzu),VDL2000-083,26222,0,,,
March,17922,0020/4300049572,CUST931,Electricity North West No9,2019/02/28,2019/03/22,2019/03/29,Deliver,LAT-38-135-H,DKLAT-180078,Yes,Yes,Isuzu D-Max Euro 6,MPATFS87JJT010131,Yes,No,FI,,33277,10123,Yes,,INS LAT-38-135-H E6 DMAX,LAT-38-135-H E6 (Isuzu),VDL2000-083,26439,0,,,
March,17923,0020/4300049572,CUST931,Electricity North West No10,2019/02/28,2019/03/22,2019/03/29,Deliver,LAT-38-135-H,DKLAT-180079,Yes,Yes,Isuzu D-Max Euro 6,MPATFS87JJT010132,Yes,No,FI,,33277,10124,Yes,,INS LAT-38-135-H E6 DMAX,LAT-38-135-H E6 (Isuzu),VDL2000-083,25780,0,,,
March,17924,0020/4300049572,CUST931,Electricity North West No11,2019/02/28,2019/03/22,2019/03/29,Deliver,LAT-38-135-H,DKLAT-180072,Yes,No,Isuzu D-Max Euro 6,MPATFS87JJT010133,Yes,No,FI,,33277,10125,Yes,,INS LAT-38-135-H E6 DMAX,LAT-38-135-H E6 (Isuzu),VDL2000-083,2619,0,,,
March,17925,0020/4300049572,CUST931,Electricity North West No12,2019/02/28,2019/03/22,2019/03/29,Deliver,LAT-38-135-H,DKLAT-180073,Yes,No,Isuzu D-Max Euro 6,MPATFS87JJT010134,Yes,No,FI,,33277,10126,Yes,,INS LAT-38-135-H E6 DMAX,LAT-38-135-H E6 (Isuzu),VDL2000-083,2101,0,,,
March,17930,0020/4300049572,CUST931,Electricity North West No17,2019/02/28,2019/03/22,2019/03/29,Deliver,LAT-38-135-H,DKLAT-180082,Yes,Yes,Isuzu D-Max Euro 6,MPATFS87JJT010590,Yes,No,FI,,33277,10131,Yes,,INS LAT-38-135-H E6 DMAX,LAT-38-135-H E6 (Isuzu),VDL2000-083,26695,0,,,
March,17931,0020/4300049572,CUST931,Electricity North West No18,2019/02/28,2019/03/22,2019/03/29,Deliver,LAT-38-135-H,DKLAT-180083,Yes,Yes,Isuzu D-Max Euro 6,MPATFS87JJT010591,Yes,No,FI,,33277,10132,Yes,,INS LAT-38-135-H E6 DMAX,LAT-38-135-H E6 (Isuzu),VDL2000-083,26500,0,,,
March,17932,0020/4300049572,CUST931,Electricity North West No19,2019/02/28,2019/03/22,2019/03/29,Deliver,LAT-38-135-H,DKLAT-190001,Yes,No,Isuzu D-Max Euro 6,MPATFS87JJT010592,Yes,No,FI,,33277,10133,Yes,,INS LAT-38-135-H E6 DMAX,LAT-38-135-H E6 (Isuzu),VDL2000-083,2113,0,,,
March,8577,1496 A1,1292,BT Fleet No1 (PE4 with winch),2019/02/28,2019/03/22,2019/03/29,Collect,ET29NE,Time DK,No,No,Iveco Eurocargo 120E19,ZCFAG1ED602688455,Yes,No,VDL Stk,,122091,10134,Yes,,INS ET29NE-PE4,ET29NE,VDL2000-071,16498,0,,,
March,9737,1496 A1,1292,BT Fleet No2 (PE4 with winch),2019/02/28,2019/03/22,2019/03/29,Collect,ET29NE,Time DK,No,No,Iveco Eurocargo 120E19,ZCFAG1ED802688456,Yes,No,VDL Stk,,122091,10135,Yes,,INS ET29NE-PE4,ET29NE,VDL2000-071,13894,0,,,
March,9738,1496 A1,1292,BT Fleet No3 (PE4 with winch),2019/02/28,2019/03/22,2019/03/29,Collect,ET29NE,Time DK,No,No,Iveco Eurocargo 120E19,ZCFAG1EDX02688457,Yes,No,VDL Stk,,122091,10136,Yes,,INS ET29NE-PE4,ET29NE,VDL2000-071,13235,0,,,
April,17571,472177,CUST1224,Scottish Power No8,2019/02/28,2019/04/23,2019/04/30,Collect,VOE36MHi,UT180005,Yes,Yes,U530,WDB4052222V252049,Yes,No,FI,,115565,09434/09505/09829/10071/10161,Yes,,INS VOE36MHi,VOE36MHi,VDL2000-086,60612,0,,,
April,17572,472178,CUST1224,Scottish Power No9,2019/02/28,2019/04/23,2019/04/30,Collect,VOE36MHi,TBA,Yes,Yes,U530,WDB4052222V253899,No,No,FI,,115565,09435/09506/09830/10070/10162,Yes,,INS VOE36MHi,VOE36MHi,VDL2000-086,56755,0,,,
