PONum,Stock_Reference,Supplier,Quantity_Required,Quantity_Received,OpenQty,Date_Created,Reference,Date_Required,Order_Completed,Invoice_Completed,Ledger_Account,Supplier_Account,Cost_Code,Price,Value,Discount_Percentage,Discount_Value
ON 88686,,SUN276,6.00,0.00,6.00,2019/02/19,Kban Cons Wk8,2019/02/19,No,No,SUN276,SUN276,,13.50,81.00,0.00,81.00
ON 88688,,SUN363,1.00,0.00,1.00,2019/02/19,17666 NORTHALLERTON,2019/02/19,No,No,SUN363,SUN363,,205.00,205.00,0.00,205.00
ON 88689,,SUN363,1.00,0.00,1.00,2019/02/19,17666 NORTHALLERTON,2019/02/19,No,No,SUN363,SUN363,,205.00,205.00,0.00,205.00
ON 88690,,SUN363,1.00,0.00,1.00,2019/02/19,17666 STEVENAGE,2019/02/19,No,No,SUN363,SUN363,,115.00,115.00,0.00,115.00
ON 88691,,SUN363,1.00,0.00,1.00,2019/02/19,17666 STEVENAGE,2019/02/19,No,No,SUN363,SUN363,,115.00,115.00,0.00,115.00
ON 88692,05-10231-20-01,V080,1.00,0.00,1.00,2019/02/19,P Northover,2019/02/19,No,No,V080,V080,,66.79,66.79,0.00,66.79
ON 88692,05-10231-30-01,V080,1.00,0.00,1.00,2019/02/19,P Northover,2019/02/19,No,No,V080,V080,,251.08,251.08,0.00,251.08
ON 88696,10114-1,T700,10.00,0.00,10.00,2019/02/19,RE-STOCK,2019/03/12,No,No,T700,T700,,29.45,294.50,0.00,294.50
ON 88696,10186-3,T700,1.00,0.00,1.00,2019/02/19,RE-STOCK,2019/03/12,No,No,T700,T700,,86.07,86.07,0.00,86.07
ON 88696,10217-3,T700,4.00,0.00,4.00,2019/02/19,RE-STOCK,2019/03/12,No,No,T700,T700,,21.06,84.24,0.00,84.24
ON 88696,15165-1,T700,2.00,0.00,2.00,2019/02/19,RE-STOCK,2019/02/26,No,No,T700,T700,,2.48,4.96,0.00,4.96
ON 88696,16409-1,T700,4.00,0.00,4.00,2019/02/19,RE-STOCK,2019/02/26,No,No,T700,T700,,45.04,180.16,0.00,180.16
ON 88696,32188-1,T700,2.00,0.00,2.00,2019/02/19,RE-STOCK,2019/03/26,No,No,T700,T700,,239.21,478.42,0.00,478.42
ON 88696,32188-2,T700,2.00,0.00,2.00,2019/02/19,RE-STOCK,2019/03/26,No,No,T700,T700,,258.02,516.04,0.00,516.04
ON 88696,4542-4,T700,6.00,0.00,6.00,2019/02/19,RE-STOCK,2019/02/26,No,No,T700,T700,,3.93,23.58,0.00,23.58
ON 88696,4542-6,T700,6.00,0.00,6.00,2019/02/19,RE-STOCK,2019/02/19,No,No,T700,T700,,1.70,10.20,0.00,10.20
ON 88696,50307-8,T700,3.00,0.00,3.00,2019/02/19,RE-STOCK,2019/03/26,No,No,T700,T700,,504.15,1512.45,0.00,1512.45
ON 88696,50307-8,T700,3.00,0.00,3.00,2019/02/19,RE-STOCK,2019/03/26,No,No,T700,T700,,525.21,1575.63,0.00,1575.63
ON 88696,54050-1,T700,2.00,0.00,2.00,2019/02/19,RE-STOCK,2019/03/26,No,No,T700,T700,,159.88,79.94,0.00,79.94
ON 88696,70001-2,T700,20.00,0.00,20.00,2019/02/19,RE-STOCK,2019/02/26,No,No,T700,T700,,4.88,24.40,0.00,24.40
ON 88696,7500-1,T700,16.00,0.00,16.00,2019/02/19,RE-STOCK,2019/02/26,No,No,T700,T700,,1.88,7.52,0.00,7.52
ON 88696,7501-1,T700,20.00,0.00,20.00,2019/02/19,RE-STOCK,2019/02/26,No,No,T700,T700,,2.22,11.10,0.00,11.10
ON 88701,,SUN844,1.00,0.00,1.00,2019/02/19,,2019/02/19,No,No,SUN844,SUN844,,119.60,119.60,0.00,119.60
ON 88702,OM5-3-C,F060,30.00,0.00,30.00,2019/02/19,OM5-3-C,2019/02/19,No,No,F060,F060,,13.60,408.00,0.00,408.00
ON 88707,,I040,2.00,0.00,2.00,2019/02/20,,2019/02/20,No,No,I040,I040,,0.00,0.00,0.00,0.00
ON 88707,,I040,1.00,0.00,1.00,2019/02/20,,2019/02/20,No,No,I040,I040,,5.00,5.00,0.00,5.00
ON 88709,,SUN363,1.00,0.00,1.00,2019/02/19,NORTHEN POWER YX68,2019/02/19,No,No,SUN363,SUN363,,200.00,200.00,0.00,200.00
ON 88710,,SUN363,1.00,0.00,1.00,2019/02/19,NORTHERN POWER YX68,2019/02/19,No,No,SUN363,SUN363,,200.00,200.00,0.00,200.00
ON 88711,,S500,1.00,0.00,1.00,2019/02/20,LEE SIMMONDS FA@W,2019/02/20,No,No,S500,S500,,0.00,0.00,0.00,0.00
ON 88711,,S500,1.00,0.00,1.00,2019/02/20,LEE SIMMONDS FA@W,2019/02/20,No,No,S500,S500,,135.00,135.00,0.00,135.00
ON 88712,,S500,1.00,0.00,1.00,2019/02/20,GRAHAM ALLEN FA@W,2019/02/20,No,No,S500,S500,,0.00,0.00,0.00,0.00
ON 88712,,S500,1.00,0.00,1.00,2019/02/20,GRAHAM ALLEN FA@W,2019/02/20,No,No,S500,S500,,215.00,215.00,0.00,215.00
ON 88713,29976-3,T700,1.00,0.00,1.00,2019/02/20,FAO Paul N,2019/02/20,No,No,T700,T700,,409.64,409.64,0.00,409.64
ON 88713,29978-3,T700,1.00,0.00,1.00,2019/02/20,FAO Paul N,2019/02/20,No,No,T700,T700,,426.21,426.21,0.00,426.21
ON 88714,,SUN363,2.00,0.00,2.00,2019/02/20,ELSTREE SHOW,2019/02/20,No,No,SUN363,SUN363,,135.00,270.00,0.00,270.00
ON 88716,,SUN363,2.00,0.00,2.00,2019/02/20,ELSTREE ROADSHOW,2019/02/20,No,No,SUN363,SUN363,,135.00,270.00,0.00,270.00
ON 88717,,SUN363,2.00,0.00,2.00,2019/02/20,ELECT NW,2019/02/20,No,No,SUN363,SUN363,,205.00,410.00,0.00,410.00
ON 88718,,SUN363,1.00,0.00,1.00,2019/02/20,ELEC NW,2019/02/20,No,No,SUN363,SUN363,,205.00,205.00,0.00,205.00
ON 88719,,SUN363,1.00,0.00,1.00,2019/02/19,SEC WU14 CFE,2019/02/19,No,No,SUN363,SUN363,,200.00,200.00,0.00,200.00
ON 88720,,SUN288,1.00,0.00,1.00,2019/02/21,Calibration,2019/02/21,No,No,SUN288,SUN288,,470.25,470.25,0.00,470.25
ON 88722,,SUN363,1.00,0.00,1.00,2019/02/21,DURHAM DEMO,2019/02/21,No,No,SUN363,SUN363,,225.00,225.00,0.00,225.00
ON 88723,,SUN363,1.00,0.00,1.00,2019/02/19,PRYSMIAN YT67 DVV,2019/02/19,No,No,SUN363,SUN363,,170.00,170.00,0.00,170.00
ON 88725,,SUN363,1.00,0.00,1.00,2019/02/19,BARNSLEY NU66 XWD,2019/02/19,No,No,SUN363,SUN363,,175.00,175.00,0.00,175.00
ON 88726,,SUN363,5.00,0.00,5.00,2019/02/21,ELEC NW,2019/02/21,No,No,SUN363,SUN363,,1025.00,205.00,0.00,205.00
ON 88728,10029-1,T700,3.00,0.00,3.00,2019/02/22,Restock,2019/03/01,No,No,T700,T700,,19.67,59.01,0.00,59.01
ON 88729,,SUN363,1.00,0.00,1.00,2019/02/22,17666 SIGNS DESIGN,2019/02/22,No,No,SUN363,SUN363,,155.00,155.00,0.00,155.00
ON 88730,,SUN363,1.00,0.00,1.00,2019/02/22,17666 SIGNS DESIGN,2019/02/22,No,No,SUN363,SUN363,,155.00,155.00,0.00,155.00
ON 88731,UK-VOE36MHI-KIT,T700,2.00,0.00,2.00,2019/02/22,ESB PROJECT,2019/02/22,No,No,T700,T700,,18613.42,37226.84,0.00,37226.84
ON 88731,UK-VST236I-KIT,T700,10.00,0.00,10.00,2019/02/22,ESB PROJECT,2019/02/22,No,No,T700,T700,,9111.11,91111.10,0.00,91111.10
ON 88731,UK-VST3600-KIT,T700,5.00,0.00,5.00,2019/02/22,ESB PROJECT,2019/02/22,No,No,T700,T700,,11787.29,58936.45,0.00,58936.45
ON 88731,UK-VST4000-KIT,T700,3.00,0.00,3.00,2019/02/22,ESB PROJECT,2019/02/22,No,No,T700,T700,,10120.08,30360.24,0.00,30360.24
ON 88733,VDL1017-161,SUN445,50.00,0.00,50.00,2019/02/25,VTL Cage Step,2019/02/25,No,No,SUN445,SUN445,,186.00,9300.00,0.00,9300.00
ON 88733,VDL1017-178,SUN445,100.00,0.00,100.00,2019/02/25,VTL Cage Step,2019/02/25,No,No,SUN445,SUN445,,48.50,4850.00,0.00,4850.00
ON 88733,VDL1017-181,SUN445,50.00,0.00,50.00,2019/02/25,VTL Cage Step,2019/02/25,No,No,SUN445,SUN445,,68.00,3400.00,0.00,3400.00
ON 88735,,I040,2.00,0.00,2.00,2019/02/25,HAULOTTE,2019/02/25,No,No,I040,I040,,0.00,0.00,0.00,0.00
ON 88735,,I040,2.00,0.00,2.00,2019/02/25,HAULOTTE,2019/02/25,No,No,I040,I040,,26.00,52.00,0.00,52.00
ON 88736,10024-2,T700,10.00,0.00,10.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,1.93,19.30,0.00,19.30
ON 88736,10075-3,T700,5.00,0.00,5.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,7.90,39.50,0.00,39.50
ON 88736,10186-3,T700,1.00,0.00,1.00,2019/02/25,RE-STOCK,2019/03/18,No,No,T700,T700,,86.07,86.07,0.00,86.07
ON 88736,10217-3,T700,3.00,0.00,3.00,2019/02/25,RE-STOCK,2019/03/18,No,No,T700,T700,,21.06,63.18,0.00,63.18
ON 88736,10217-3,T700,4.00,0.00,4.00,2019/02/25,RE-STOCK,2019/03/18,No,No,T700,T700,,21.06,84.24,0.00,84.24
ON 88736,10915-1,T700,1.00,0.00,1.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,109.02,109.02,0.00,109.02
ON 88736,12029-1,T700,1.00,0.00,1.00,2019/02/25,RE-STOCK,2019/03/18,No,No,T700,T700,,668.31,668.31,0.00,668.31
ON 88736,13342-1,T700,10.00,0.00,10.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,9.09,90.90,0.00,90.90
ON 88736,14263-1,T700,1.00,0.00,1.00,2019/02/25,RE-STOCK,2019/03/11,No,No,T700,T700,,15.40,15.40,0.00,15.40
ON 88736,16409-1,T700,12.00,0.00,12.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,45.04,540.48,0.00,540.48
ON 88736,32188-1,T700,3.00,0.00,3.00,2019/02/25,RE-STOCK,2019/04/01,No,No,T700,T700,,239.21,717.63,0.00,717.63
ON 88736,32188-2,T700,3.00,0.00,3.00,2019/02/25,RE-STOCK,2019/04/01,No,No,T700,T700,,258.02,774.06,0.00,774.06
ON 88736,3294-16,T700,10.00,0.00,10.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,44.49,444.90,0.00,444.90
ON 88736,34397-2,T700,2.00,0.00,2.00,2019/02/25,RE-STOCK,2019/02/25,No,No,T700,T700,,421.44,842.88,0.00,842.88
ON 88736,40121-1,T700,50.00,0.00,50.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,0.87,43.50,0.00,43.50
ON 88736,40124-1,T700,50.00,0.00,50.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,1.25,62.50,0.00,62.50
ON 88736,48004-1,T700,50.00,0.00,50.00,2019/02/25,RE-STOCK,2019/03/07,No,No,T700,T700,,0.87,43.50,0.00,43.50
ON 88736,50144-2,T700,60.00,0.00,60.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,2.63,157.80,0.00,157.80
ON 88736,50307-7,T700,4.00,0.00,4.00,2019/02/25,RE-STOCK,2019/04/01,No,No,T700,T700,,515.65,2062.60,0.00,2062.60
ON 88736,54116-1,T700,1.00,0.00,1.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,214.76,214.76,0.00,214.76
ON 88736,60002-6,T700,7.00,0.00,7.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,12.57,87.99,0.00,87.99
ON 88736,6526-3,T700,10.00,0.00,10.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,6.92,69.20,0.00,69.20
ON 88736,70001-2,T700,20.00,0.00,20.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,2.44,48.80,0.00,48.80
ON 88736,7500-1,T700,5.00,0.00,5.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,0.94,4.70,0.00,4.70
ON 88736,7501-1,T700,10.00,0.00,10.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,1.11,11.10,0.00,11.10
ON 88737,02-10061-00-01,V080,4.00,0.00,4.00,2019/02/25,RE-STOCK,2019/02/25,No,No,V080,V080,,101.18,404.72,0.00,404.72
ON 88737,14-0645-00-03,V080,10.00,0.00,10.00,2019/02/25,RE-STOCK,2019/02/25,No,No,V080,V080,,9.75,97.50,0.00,97.50
ON 88737,3230353-5,V080,2.00,0.00,2.00,2019/02/25,RE-STOCK,2019/02/25,No,No,V080,V080,,589.64,1179.28,0.00,1179.28
ON 88737,38721-A1,V080,3.00,0.00,3.00,2019/02/25,RE-STOCK,2019/03/04,No,No,V080,V080,,150.40,451.20,0.00,451.20
ON 88737,38722-A1,V080,3.00,0.00,3.00,2019/02/25,RE-STOCK,2019/03/04,No,No,V080,V080,,131.82,395.46,0.00,395.46
ON 88737,58106-1,V080,2.00,0.00,2.00,2019/02/25,RE-STOCK,2019/02/25,No,No,V080,V080,,105.04,210.08,0.00,210.08
ON 88738,VDL1907-100,SUN713,20.00,0.00,20.00,2019/02/25,RE-STOCK,2019/02/25,No,No,SUN713,SUN713,,156.40,3128.00,0.00,3128.00
ON 88738,VDL1913-101,SUN713,20.00,0.00,20.00,2019/02/25,RE-STOCK,2019/02/25,No,No,SUN713,SUN713,,166.65,3333.00,0.00,3333.00
ON 88741,54118-4,S680,10.00,0.00,10.00,2019/02/25,RE-STOCK,2019/03/11,No,No,S680,S680,,58.40,584.00,0.00,584.00
ON 88743,,SUN505,1.00,0.00,1.00,2019/02/25,STOCKTON,2019/02/25,No,No,SUN505,SUN505,,50.00,50.00,0.00,50.00
ON 88743,VDL1360-16,SUN505,1.00,0.00,1.00,2019/02/25,STOCKTON,2019/02/25,No,No,SUN505,SUN505,,195.00,195.00,0.00,195.00
ON 88743,VDL1360-44/31,SUN505,1.00,0.00,1.00,2019/02/25,STOCKTON,2019/02/25,No,No,SUN505,SUN505,,394.00,394.00,0.00,394.00
ON 88744,21741-2,T700,2.00,0.00,2.00,2019/02/25,RE-STOCK,2019/02/25,No,No,T700,T700,,86.35,172.70,0.00,172.70
ON 88744,25246-1,T700,2.00,0.00,2.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,4.26,8.52,0.00,8.52
ON 88744,25250-1,T700,2.00,0.00,2.00,2019/02/25,RE-STOCK,2019/03/04,No,No,T700,T700,,2.02,4.04,0.00,4.04
ON 88744,88001-2,T700,3.00,0.00,3.00,2019/02/25,RE-STOCK,2019/03/18,No,No,T700,T700,,3.83,11.49,0.00,11.49
ON 88745,10024-3,T700,30.00,0.00,30.00,2019/02/25,10024-3,2019/03/04,No,No,T700,T700,,4.60,138.00,0.00,138.00
ON 88746,,SUN795,2.00,0.00,2.00,2019/02/25,BT/ENW,2019/02/25,No,No,SUN795,SUN795,,260.00,130.00,0.00,130.00
ON 88747,,SUN854,11.00,0.00,11.00,2019/02/25,Electricity Northwes,2019/02/25,No,No,SUN854,SUN854,,6.50,71.50,0.00,71.50
ON 88749,PS-B-17,SUN713,200.00,175.00,25.00,2019/02/25,PS-B-17,2019/02/25,No,No,SUN713,SUN713,,4.23,846.00,0.00,846.00
ON 88750,3794,B020,20.00,4.00,16.00,2019/02/25,,2019/02/25,No,No,B020,B020,,16.10,322.00,0.00,322.00
ON 88750,9300,B020,20.00,5.00,15.00,2019/02/25,,2019/02/25,No,No,B020,B020,,26.88,537.60,0.00,537.60
ON 88750,E2AM18KN16M1B2,B020,1.00,0.00,1.00,2019/02/25,,2019/02/25,No,No,B020,B020,,29.77,29.77,0.00,29.77
ON 88751,VDL1088-59,SUN419,19.00,0.00,19.00,2019/02/25,re stock,2019/03/27,No,No,SUN419,SUN419,,25.96,493.24,0.00,493.24
ON 88751,VDL1088-65,SUN419,19.00,0.00,19.00,2019/02/25,re stock,2019/02/25,No,No,SUN419,SUN419,,56.32,1070.08,0.00,1070.08
ON 88754,VDL1050-257,M010,3.00,0.00,3.00,2019/02/25,FAO Service,2019/02/25,No,No,M010,M010,,854.00,2562.00,0.00,2562.00
ON 88755,M 8000 820-UK,SUN847,10.00,0.00,10.00,2019/02/26,RE-STOCK,2019/02/26,No,No,SUN847,SUN847,,511.44,5114.40,0.00,5114.40
ON 88755,VDL1515-80,SUN847,100.00,0.00,100.00,2019/02/26,RE-STOCK,2019/02/26,No,No,SUN847,SUN847,,1020.00,102000.00,0.00,102000.00
ON 88756,,SUN855,1.00,0.00,1.00,2019/02/26,CYLINDER,2019/02/26,No,No,SUN855,SUN855,,1950.00,1950.00,0.00,1950.00
ON 88757,,SUN584,2.00,0.00,2.00,2019/02/26,HILUX,2019/02/26,No,No,SUN584,SUN584,,16961.88,33923.76,0.00,33923.76
ON 88758,50009-4,SUN713,40.00,20.00,20.00,2019/02/26,RE-STOCK,2019/02/26,No,No,SUN713,SUN713,,1.66,66.40,0.00,66.40
ON 88759,,B020,2.00,0.00,2.00,2019/02/26,K/Ban N/S,2019/02/26,No,No,B020,B020,,7.87,15.74,0.00,15.74
ON 88759,,B020,100.00,0.00,100.00,2019/02/26,K/Ban N/S,2019/02/26,No,No,B020,B020,,0.23,23.00,0.00,23.00
ON 88759,,B020,50.00,32.00,18.00,2019/02/26,K/Ban N/S,2019/02/26,No,No,B020,B020,,0.70,35.00,0.00,35.00
ON 88759,,B020,4.00,3.00,1.00,2019/02/26,K/Ban N/S,2019/02/26,No,No,B020,B020,,14.58,58.32,0.00,58.32
ON 88759,,B020,2.00,1.00,1.00,2019/02/26,K/Ban N/S,2019/02/26,No,No,B020,B020,,29.73,59.46,0.00,59.46
ON 88759,,B020,4.00,1.00,3.00,2019/02/26,K/Ban N/S,2019/02/26,No,No,B020,B020,,16.09,64.36,0.00,64.36
ON 88760,KAX-Z1C12,B020,40.00,0.00,40.00,2019/02/26,Kanban S,2019/03/05,No,No,B020,B020,,2.39,95.60,0.00,95.60
ON 88760,KZ-127,B020,30.00,24.00,6.00,2019/02/26,Kanban S,2019/02/28,No,No,B020,B020,,3.51,105.30,0.00,105.30
ON 88760,ZCK DO5,B020,30.00,0.00,30.00,2019/02/26,Kanban S,2019/02/27,No,No,B020,B020,,9.30,279.00,0.00,279.00
ON 88760,ZCK Y33,B020,50.00,29.00,21.00,2019/02/26,Kanban S,2019/02/27,No,No,B020,B020,,4.26,213.00,0.00,213.00
ON 88761,VDL1048-458,SUN445,3.00,0.00,3.00,2019/02/26,SERVICE,2019/02/26,No,No,SUN445,SUN445,,9.55,28.65,0.00,28.65
ON 88761,VDL1048-459,SUN445,3.00,0.00,3.00,2019/02/26,SERVICE,2019/02/26,No,No,SUN445,SUN445,,23.50,70.50,0.00,70.50
ON 88762,,I040,4.00,0.00,4.00,2019/02/26,,2019/02/26,No,No,I040,I040,,0.00,0.00,0.00,0.00
ON 88762,,I040,2.00,0.00,2.00,2019/02/26,,2019/02/26,No,No,I040,I040,,60.00,30.00,0.00,30.00
ON 88762,,I040,3.00,0.00,3.00,2019/02/26,,2019/02/26,No,No,I040,I040,,30.00,90.00,0.00,90.00
ON 88762,,I040,6.00,0.00,6.00,2019/02/26,,2019/02/26,No,No,I040,I040,,26.00,156.00,0.00,156.00
ON 88763,VDL1874-600,SUN445,4.00,0.00,4.00,2019/02/26,1874-600,2019/02/26,No,No,SUN445,SUN445,,0.00,0.00,0.00,0.00
ON 88768,,SUN363,1.00,0.00,1.00,2019/02/26,RINGWAY 17362,2019/02/26,No,No,SUN363,SUN363,,135.00,135.00,0.00,135.00
ON 88769,M 8000 072,V080,10.00,0.00,10.00,2019/02/26,CAGE HINGE,2019/03/05,No,No,V080,V080,,30.48,304.80,0.00,304.80
ON 88771,,SUN505,2.00,0.00,2.00,2019/02/26,VARIOUS,2019/02/26,No,No,SUN505,SUN505,,50.00,100.00,0.00,100.00
ON 88771,VDL1360-44/41,SUN505,2.00,0.00,2.00,2019/02/26,VARIOUS,2019/02/26,No,No,SUN505,SUN505,,234.00,468.00,0.00,468.00
ON 88772,,SUN505,5.00,0.00,5.00,2019/02/26,VARIOUS,2019/02/26,No,No,SUN505,SUN505,,50.00,250.00,0.00,250.00
ON 88772,VDL1360-44/30,SUN505,5.00,0.00,5.00,2019/02/26,VARIOUS,2019/02/26,No,No,SUN505,SUN505,,120.00,600.00,0.00,600.00
ON 88773,,SUN23,1.00,0.00,1.00,2019/02/26,17576,2019/02/26,No,No,SUN23,SUN23,,127.93,127.93,0.00,127.93
ON 88773,,SUN23,1.00,0.00,1.00,2019/02/26,17576,2019/02/26,No,No,SUN23,SUN23,,230.00,230.00,0.00,230.00
ON 88774,PM-1288-VS-LS,SUN527,200.00,0.00,200.00,2019/02/26,BLANKET,2019/02/26,No,No,SUN527,SUN527,,95.86,19172.00,0.00,19172.00
ON 88774,PM1200AAMP,SUN527,200.00,0.00,200.00,2019/02/26,BLANKET,2019/02/26,No,No,SUN527,SUN527,,7.23,1446.00,0.00,1446.00
ON 88774,PMMB153CMV142AMP,SUN527,200.00,0.00,200.00,2019/02/26,BLANKET,2019/02/26,No,No,SUN527,SUN527,,10.31,2062.00,0.00,2062.00
ON 88775,5/1448,S250,2.00,0.00,2.00,2019/02/27,STOCK,2019/02/27,No,No,S250,S250,,4.92,9.84,0.00,9.84
ON 88775,RARL1129,S250,3.00,0.00,3.00,2019/02/27,STOCK,2019/02/27,No,No,S250,S250,,23.73,71.19,0.00,71.19
ON 88776,8438J,SUN317,10.00,0.00,10.00,2019/02/27,8438J,2019/02/27,No,No,SUN317,SUN317,,1.12,11.20,0.00,11.20
ON 88777,ELUSB11M,SUN417,2.00,0.00,2.00,2019/02/27,RE-STOCK,2019/02/27,No,No,SUN417,SUN417,,15.77,31.54,0.00,31.54
ON 88777,GYR114R,SUN417,5.00,0.00,5.00,2019/02/27,RE-STOCK,2019/02/27,No,No,SUN417,SUN417,,111.34,556.70,0.00,556.70
ON 88777,ILV250MD,SUN417,12.00,0.00,12.00,2019/02/27,RE-STOCK,2019/02/27,No,No,SUN417,SUN417,,0.00,0.00,0.00,0.00
ON 88777,ILV650M4M,SUN417,4.00,0.00,4.00,2019/02/27,RE-STOCK,2019/02/27,No,No,SUN417,SUN417,,24.37,97.48,0.00,97.48
ON 88777,ILV650MD,SUN417,24.00,0.00,24.00,2019/02/27,RE-STOCK,2019/02/27,No,No,SUN417,SUN417,,0.00,0.00,0.00,0.00
ON 88777,VPR001,SUN417,1.00,0.00,1.00,2019/02/27,RE-STOCK,2019/02/27,No,No,SUN417,SUN417,,31.38,31.38,0.00,31.38
ON 88779,VDL1048-435,SUN445,1.00,0.00,1.00,2019/02/27,1048-435,2019/02/27,No,No,SUN445,SUN445,,26.85,26.85,0.00,26.85
ON 88780,2WSP,A350,200.00,0.00,200.00,2019/02/27,RE STOCK,2019/02/27,No,No,A350,A350,,1.62,324.00,0.00,324.00
ON 88780,2WSS,A350,200.00,0.00,200.00,2019/02/27,RE STOCK,2019/02/27,No,No,A350,A350,,1.62,324.00,0.00,324.00
ON 88780,MEGA 300,A350,30.00,0.00,30.00,2019/02/27,RE STOCK,2019/02/27,No,No,A350,A350,,2.99,89.70,0.00,89.70
ON 88780,MIDI 30,A350,30.00,0.00,30.00,2019/02/27,RE STOCK,2019/02/27,No,No,A350,A350,,0.92,27.60,0.00,27.60
ON 88780,PC2-C,A350,2.00,0.00,2.00,2019/02/27,RE STOCK,2019/02/27,No,No,A350,A350,,3.65,7.30,0.00,7.30
ON 88780,PC2SS,A350,2.00,0.00,2.00,2019/02/27,RE STOCK,2019/02/28,No,No,A350,A350,,5.96,11.92,0.00,11.92
ON 88781,AS1W,SUN551,70.00,0.00,70.00,2019/02/27,AS1W,2019/02/27,No,No,SUN551,SUN551,,13.48,943.60,0.00,943.60
ON 88782,506-003,B020,1.00,0.00,1.00,2019/02/27,RE STOCK,2019/02/27,No,No,B020,B020,,10.46,10.46,0.00,10.46
ON 88782,872-5811,B020,12.00,0.00,12.00,2019/02/27,RE STOCK,2019/02/27,No,No,B020,B020,,35.30,423.60,0.00,423.60
ON 88782,M 41 ZCE01,B020,20.00,0.00,20.00,2019/02/27,RE STOCK,2019/03/06,No,No,B020,B020,,5.57,111.40,0.00,111.40
ON 88782,M 41 ZCY18,B020,15.00,0.00,15.00,2019/02/27,RE STOCK,2019/03/06,No,No,B020,B020,,0.68,10.20,0.00,10.20
ON 88782,RJ1S-CLD-D24,B020,20.00,0.00,20.00,2019/02/27,RE STOCK,2019/02/27,No,No,B020,B020,,5.04,100.80,0.00,100.80
ON 88782,XAL K174E,B020,10.00,0.00,10.00,2019/02/27,RE STOCK,2019/02/27,No,No,B020,B020,,19.82,198.20,0.00,198.20
ON 88782,XCMD2102C12,B020,5.00,0.00,5.00,2019/02/27,RE STOCK,2019/02/27,No,No,B020,B020,,32.30,161.50,0.00,161.50
ON 88782,ZCD21M12,B020,30.00,0.00,30.00,2019/02/27,RE STOCK,2019/02/27,No,No,B020,B020,,20.03,600.90,0.00,600.90
ON 88782,ZCMD21C12,B020,5.00,0.00,5.00,2019/02/27,RE STOCK,2019/02/27,No,No,B020,B020,,26.59,132.95,0.00,132.95
ON 88783,EO-00-90-21,V080,1.00,0.00,1.00,2019/02/27,T Neagle,2019/02/27,No,No,V080,V080,,1203.88,1203.88,0.00,1203.88
ON 88784,VDL1050-217,M010,1.00,0.00,1.00,2019/02/27,1050-217,2019/02/27,No,No,M010,M010,,514.00,514.00,0.00,514.00
ON 88785,VDL1050-51,SUN586,10.00,0.00,10.00,2019/02/27,RE STOCK,2019/02/27,No,No,SUN586,SUN586,,4.50,45.00,0.00,45.00
ON 88785,VDL1620-21,SUN586,15.00,0.00,15.00,2019/02/27,RE STOCK,2019/02/27,No,No,SUN586,SUN586,,145.00,2175.00,0.00,2175.00
ON 88786,DH5/3A,B015,4.00,0.00,4.00,2019/02/27,RE STOCK,2019/03/04,No,No,B015,B015,,33.42,133.68,0.00,133.68
ON 88787,ARG120201020,SUN449,5.00,0.00,5.00,2019/02/27,RE STOCK,2019/02/27,No,No,SUN449,SUN449,,48.30,241.50,0.00,241.50
ON 88787,K96,SUN449,3.00,0.00,3.00,2019/02/27,RE STOCK,2019/02/27,No,No,SUN449,SUN449,,218.11,654.33,0.00,654.33
ON 88787,SIBR241000,SUN449,3.00,0.00,3.00,2019/02/27,RE STOCK,2019/02/27,No,No,SUN449,SUN449,,230.10,690.30,0.00,690.30
ON 88787,SIBR241600,SUN449,3.00,0.00,3.00,2019/02/27,RE STOCK,2019/02/27,No,No,SUN449,SUN449,,272.35,817.05,0.00,817.05
ON 88788,12850-1,T700,1.00,0.00,1.00,2019/02/27,RE-STOCK,2019/03/06,No,No,T700,T700,,113.31,113.31,0.00,113.31
ON 88788,13144-1,T700,5.00,0.00,5.00,2019/02/27,RE-STOCK,2019/03/06,No,No,T700,T700,,1.02,5.10,0.00,5.10
ON 88788,16909-1,T700,4.00,0.00,4.00,2019/02/27,RE-STOCK,2019/03/04,No,No,T700,T700,,19.17,76.68,0.00,76.68
ON 88788,35102-1,T700,4.00,0.00,4.00,2019/02/27,RE-STOCK,2019/03/13,No,No,T700,T700,,54.78,219.12,0.00,219.12
